Rank,Player,Team,Position,MIN,FGM,FGA,FTM,FTA,3PM,REB,AST,STL,BLK,TO,PTS,Research %ROST,Research +/-,Fantasy TOT,Fantasy AVG,Position List,Projected Fantasy Points,VORP,Adjusted VORP,Tier
289,Gary Harris,Orl,SG,23.8,2.6,5.9,0.6,0.8,1.5,1.7,1.5,0.9,0.2,0.6,7.3,0.1,0.0,1046.0,15.8,['SG'],15.8,-7.699999999999999,-0.7121956265405271,2
290,Dante Exum,Dal,SG,19.8,2.9,5.5,0.9,1.2,1.0,2.7,2.9,0.4,0.1,0.9,7.8,0.1,0.0,1037.0,17.6,['SG'],17.5,-6.0,-0.5549576310705406,2
292,Kenrich Williams,OKC,SF,16.8,2.3,4.7,0.2,0.4,0.9,3.5,1.5,0.6,0.2,0.5,5.6,0.2,-0.1,1032.0,14.7,['SF'],14.9,-7.3000000000000025,-0.6591955840070297,2
293,Quentin Grimes,Dal,SG,22.5,2.8,6.9,0.8,1.0,1.7,2.3,1.5,0.7,0.2,0.7,8.1,0.3,0.0,1030.0,15.8,['SG'],15.799999999999999,-7.700000000000001,-0.7121956265405274,2
294,Jaxson Hayes,LAL,C,16.6,2.4,3.5,1.1,1.7,0.0,3.9,0.6,0.6,0.6,0.8,5.9,0.3,0.0,1030.0,14.9,['C'],14.9,-5.799999999999999,-0.466271458210654,2
295,Jake LaRavia,Mem,PF,19.7,2.7,6.9,1.9,2.3,1.3,3.1,1.3,0.7,0.3,1.1,8.5,0.2,0.0,1028.0,15.3,['PF'],15.399999999999999,-5.5,-0.4834508226657846,2
296,Kris Murray,Por,PF,22.3,2.4,6.1,0.6,0.9,0.8,3.7,1.3,0.9,0.3,0.9,6.1,0.4,0.0,1019.0,14.6,['PF'],14.599999999999998,-6.300000000000001,-0.5537709423262624,2
297,Joe Ingles,Min,SF,18.5,1.7,3.9,0.4,0.5,1.2,2.2,3.1,0.6,0.1,1.0,5.0,0.3,0.0,1018.0,14.8,['SF'],14.8,-7.400000000000002,-0.6682256605002767,2
298,Jared McCain,Phi,SG,16.7,2.2,5.1,1.0,1.1,1.0,3.4,1.7,0.7,0.3,1.3,6.2,5.4,-0.7,1014.0,14.5,['SG'],14.600000000000001,-8.899999999999999,-0.8231871527546353,2
300,Chris Boucher,Tor,"PF, C",15.5,2.5,4.9,1.5,1.9,0.7,4.5,0.4,0.4,0.6,0.6,7.0,0.3,-0.1,1013.0,15.3,"['PF', 'C']",15.5,-5.199999999999999,-0.41803647977506914,2
301,Sam Merrill,Cle,SG,17.3,2.6,6.4,0.5,0.5,2.3,2.0,1.7,0.3,0.1,0.3,7.9,0.1,0.0,1011.0,15.3,['SG'],15.4,-8.1,-0.7491928019452299,2
302,Gary Payton II,GS,SG,16.1,2.4,4.2,0.4,0.6,0.5,2.8,1.1,1.0,0.4,0.6,5.7,0.4,0.0,993.0,16.0,['SG'],16.0,-7.5,-0.6936970388381759,2
303,Dean Wade,Cle,PF,20.4,1.8,4.2,0.4,0.5,1.3,3.8,0.8,0.7,0.4,0.4,5.2,0.2,0.0,992.0,14.8,['PF'],14.8,-6.099999999999998,-0.5361909124111427,2
305,Jae'Sean Tate,Hou,SF,17.9,2.3,4.7,0.7,1.0,0.4,3.4,1.4,0.7,0.3,0.8,5.6,0.1,0.0,980.0,14.2,['SF'],14.2,-8.000000000000004,-0.7224061194597586,2
306,Thomas Bryant,Mia,C,13.9,2.8,4.7,1.2,1.5,0.2,4.3,0.6,0.3,0.5,0.6,7.0,0.2,0.0,978.0,15.3,['C'],15.3,-5.399999999999999,-0.434114805920264,2
307,Bol Bol,Phx,"PF, C",14.3,2.7,4.6,0.6,0.8,0.5,4.0,0.6,0.3,0.8,0.8,6.5,1.8,-0.1,978.0,15.5,"['PF', 'C']",15.600000000000001,-5.099999999999998,-0.4099973167024715,2
308,Devonte' Graham,FA,PG,18.4,2.3,6.4,1.0,1.3,1.6,1.8,2.7,0.6,0.2,0.9,7.3,0.1,0.0,,15.4,['PG'],15.399999999999999,-3.700000000000003,-0.29804994575761606,2
309,Gabe Vincent,LAL,PG,23.1,2.6,6.7,0.6,0.7,1.2,1.6,2.3,0.9,0.1,1.0,6.9,0.3,0.0,971.0,14.5,['PG'],14.700000000000001,-4.4,-0.354437773333381,2
310,Maxi Kleber,Dal,PF,21.7,1.7,4.0,0.8,1.1,0.9,3.7,1.5,0.4,0.8,0.7,5.1,0.1,0.0,956.0,15.2,['PF'],15.2,-5.699999999999999,-0.501030852580904,2
311,Aaron Holiday,Hou,PG,15.8,2.2,5.0,0.7,0.8,1.0,1.5,1.8,0.6,0.1,0.7,6.1,0.1,0.0,956.0,12.9,['PG'],12.9,-6.200000000000001,-0.49943504424249147,1
312,Ochai Agbaji,Tor,"SF, SG",20.9,2.4,5.8,0.6,0.8,0.9,2.6,1.1,0.5,0.5,0.8,6.3,0.2,0.0,955.0,13.3,"['SF', 'SG']",13.2,-9.000000000000004,-0.8127068843922284,1
313,KJ Martin,Phi,SF,17.3,2.7,4.9,0.8,1.3,0.4,3.2,1.1,0.4,0.3,0.7,6.6,0.3,-0.2,953.0,13.8,['SF'],13.799999999999999,-8.400000000000004,-0.7585264254327466,1
314,Tristan Vukcevic,Wsh,PF,15.6,2.9,6.9,1.7,2.3,1.0,3.7,1.3,0.5,0.7,1.0,8.7,0.1,0.0,953.0,17.3,['PF'],17.099999999999998,-3.8000000000000007,-0.3340205683872694,2
315,GG Jackson II,Mem,PF,25.7,5.1,11.7,2.5,3.2,2.2,4.1,1.2,0.6,0.5,1.4,15.0,1.9,-0.1,953.0,23.2,['PF'],23.1,2.200000000000003,0.19338032906631408,3
316,Mouhamed Gueye,Atl,PF,12.2,1.3,3.8,0.8,1.0,0.5,3.7,0.7,0.8,0.7,0.2,4.0,0.1,0.0,944.0,13.9,['PF'],13.8,-7.099999999999998,-0.6240910619867399,2
317,Keon Ellis,Sac,SG,15.7,1.7,3.7,0.4,0.6,1.1,2.0,1.4,0.8,0.5,0.6,5.0,0.9,0.2,942.0,14.5,['SG'],14.4,-9.1,-0.8416857404569866,2
318,Noah Clowney,Bkn,PF,16.1,2.1,4.0,0.9,1.3,0.5,3.5,0.8,0.3,0.7,0.7,5.7,1.3,0.1,940.0,13.8,['PF'],13.7,-7.199999999999999,-0.6328810769442997,1
319,Jaylin Williams,OKC,C,13.9,1.5,3.5,0.5,0.7,0.8,3.6,1.6,0.4,0.4,0.5,4.3,0.4,0.1,934.0,13.3,['C'],13.399999999999999,-7.300000000000001,-0.5868589042996164,1
320,Dwight Powell,Dal,C,15.7,1.7,2.5,1.2,1.7,0.0,3.8,1.2,0.5,0.3,0.6,4.7,0.2,-0.1,930.0,13.5,['C'],13.3,-7.399999999999999,-0.5948980673722137,1
321,Richaun Holmes,Wsh,"C, PF",15.5,2.6,4.2,0.9,1.2,0.0,4.6,0.6,0.2,0.6,0.7,6.1,0.1,0.0,924.0,14.4,"['C', 'PF']",14.399999999999999,-6.300000000000001,-0.5064672735736416,2
322,Jevon Carter,Chi,PG,15.8,2.1,5.4,0.1,0.2,1.2,1.3,1.6,0.6,0.3,0.6,5.6,0.1,0.0,923.0,12.5,['PG'],12.399999999999999,-6.700000000000003,-0.5397120639394667,1
323,Seth Curry,Cha,"SG, PG",17.9,2.7,6.2,0.8,0.9,1.2,1.8,1.5,0.6,0.1,0.7,7.5,1.5,-0.1,913.0,14.0,"['SG', 'PG']",14.0,-5.100000000000001,-0.4108256009091462,2
325,Ziaire Williams,Bkn,SF,19.8,2.8,7.0,1.1,1.3,1.1,3.1,1.3,0.6,0.2,1.2,7.8,0.2,0.0,904.0,13.9,['SF'],13.8,-8.400000000000002,-0.7585264254327464,2
326,Charles Bassey,SA,C,11.4,1.9,2.8,0.5,0.7,0.0,4.3,1.0,0.4,0.9,0.8,4.2,0.2,0.0,902.0,14.8,['C'],14.899999999999999,-5.800000000000001,-0.46627145821065413,2
328,Amir Coffey,LAC,SG,19.8,2.3,4.9,0.9,1.1,0.9,2.0,1.2,0.5,0.2,0.5,6.4,0.6,0.0,898.0,13.0,['SG'],13.0,-10.5,-0.9711758543734462,1
329,Jordan Hawkins,NO,SG,17.3,2.8,6.8,1.0,1.2,1.6,2.2,1.0,0.3,0.1,0.6,8.2,0.7,0.3,898.0,13.0,['SG'],13.0,-10.5,-0.9711758543734462,1
330,Patty Mills,Utah,"PG, SG",21.2,2.9,7.2,0.5,0.6,1.9,1.5,1.7,0.6,0.1,0.8,8.2,0.1,0.0,894.0,14.7,"['PG', 'SG']",14.7,-4.400000000000002,-0.35443777333338117,2
331,Jeff Green,Hou,PF,18.0,2.4,5.1,1.6,2.0,0.6,2.4,1.0,0.2,0.4,0.7,7.1,0.1,0.0,882.0,12.4,['PF'],12.4,-8.499999999999998,-0.747151271392576,1
332,Damion Lee,Phx,SF,20.3,2.7,6.1,1.2,1.3,1.3,3.1,1.2,0.5,0.1,0.9,7.9,0.1,0.0,882.0,14.5,['SF'],14.5,-7.700000000000003,-0.6953158899800176,2
333,Josh Okogie,Phx,"SF, SG",16.2,1.6,3.9,1.4,1.9,0.6,2.7,1.1,0.8,0.4,0.7,5.2,0.1,0.0,846.0,12.8,"['SF', 'SG']",12.900000000000002,-9.3,-0.8397971138719691,1
335,Shake Milton,Bkn,SG,15.5,2.2,5.1,1.0,1.2,0.5,1.9,1.9,0.4,0.2,0.8,5.9,0.1,0.0,836.0,12.1,['SG'],12.0,-11.5,-1.0636687928852029,1
336,Ricky Council IV,Phi,SG,16.2,2.7,5.4,2.7,3.5,0.5,2.6,1.0,0.5,0.1,1.5,8.5,0.1,0.0,830.0,12.2,['SG'],12.200000000000001,-11.299999999999999,-1.0451702051828515,1
337,Jordan McLaughlin,Sac,PG,12.1,1.3,2.8,0.3,0.4,0.7,1.3,2.2,0.7,0.1,0.4,3.6,0.1,0.0,827.0,12.2,['PG'],12.1,-7.000000000000002,-0.5638782757576517,1
338,Terrence Shannon Jr.,Min,SG,11.1,2.2,4.8,1.1,1.4,0.6,2.7,0.4,0.6,0.4,0.9,6.0,0.8,-0.1,800.0,11.6,['SG'],11.600000000000001,-11.899999999999999,-1.1006659682899056,1
339,Julian Strawther,Den,SF,13.9,2.5,5.6,0.6,0.8,1.3,1.5,1.2,0.4,0.2,0.6,6.8,0.8,0.5,758.0,12.2,['SF'],12.399999999999999,-9.800000000000004,-0.8849474963382044,1
340,Anthony Black,Orl,"PG, SG",16.8,1.7,3.6,0.7,1.2,0.6,2.0,1.3,0.5,0.3,0.8,4.6,0.8,-0.1,746.0,10.7,"['PG', 'SG']",10.7,-8.400000000000002,-0.676653930909182,1
341,Chris Duarte,Chi,SG,15.0,1.9,4.9,0.7,0.9,0.9,2.1,1.0,0.5,0.2,0.6,5.5,0.1,0.0,741.0,10.9,['SG'],10.799999999999999,-12.700000000000001,-1.1746603190993112,1
