0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
105,"Tyus Jones
Phx
PG",,,27.3,4.6,9.6,0.6,0.8,1.5,2.6,6.6,1.0,0.2,0.9,11.3,61.4,-1.7,2168,31.0
106,"Deni Avdija
Por
SF, PF",,,29.7,5.2,10.4,2.6,3.5,1.1,7.1,3.7,0.8,0.5,2.1,14.1,63.9,+5.9,2240,29.9
107,"Reed Sheppard
Hou
SG",,,28.6,5.1,11.1,2.5,2.9,2.1,3.2,4.6,1.1,0.5,1.8,14.8,58.8,+9,2154,30.8
108,"Russell Westbrook
Den
PG",,,28.3,5.6,12.6,2.3,3.4,0.9,6.1,6.1,1.2,0.4,2.9,14.5,70.0,+5.1,2323,31.8
109,"Walker Kessler
Utah
C",,,24.5,3.9,5.8,1.0,1.8,0.0,8.3,1.0,0.5,2.5,1.0,8.9,63.5,-1,2133,30.5
110,"Jerami Grant
Por
PF",,,33.5,6.9,15.1,4.6,5.6,2.1,3.7,2.6,0.8,0.7,2.0,20.4,64.9,+2.5,2102,30.9
111,"Bobby Portis
DTD
Mil
PF",,,26.0,5.9,11.7,1.3,1.6,1.4,8.2,1.3,0.8,0.4,1.2,14.4,64.5,-2.8,2266,28.7
112,"P.J. Washington
Dal
PF",,,33.3,5.3,12.2,1.5,2.2,2.0,6.1,2.2,1.1,0.9,1.5,14.2,56.9,+7.3,2181,29.5
113,"Brook Lopez
DTD
Mil
C",,,29.7,4.9,9.8,1.5,1.8,1.8,5.4,1.5,0.5,2.3,1.1,13.0,70.8,-2.9,2289,31.8
114,"John Collins
Utah
PF",,,28.2,5.8,10.9,2.1,2.7,1.2,8.3,1.2,0.6,0.9,1.4,14.9,58.3,-0.1,2111,30.2
115,"Donte DiVincenzo
DTD
Min
SG",,,30.2,5.3,12.0,1.1,1.4,3.3,4.1,3.0,1.4,0.4,1.5,15.0,74.6,+6.1,2311,30.8
116,"Jabari Smith Jr.
Hou
PF, C",,,32.7,5.0,11.4,2.1,2.6,1.8,8.1,1.5,0.7,0.9,1.3,13.9,72.4,-1.1,2210,28.7
117,"Caris LeVert
Cle
SG, SF",,,29.3,5.1,11.9,2.2,2.9,1.6,4.0,4.8,1.1,0.5,1.7,13.9,53.4,+2.5,2130,29.6
118,"Naz Reid
DTD
Min
C, PF",,,25.7,5.4,11.2,1.5,2.1,2.1,5.8,1.4,0.8,1.0,1.5,14.5,74.8,+1.9,2216,28.4
119,"Dennis Schroder
Bkn
PG",,,31.3,5.0,11.5,2.4,2.9,1.6,3.0,5.8,0.8,0.2,1.9,14.0,53.5,+3.2,2211,28.3
120,"Draymond Green
GS
PF, C",,,27.5,3.3,6.4,1.0,1.4,0.8,7.0,6.1,1.0,0.8,2.5,8.3,60.5,+1.1,2046,30.1
121,"OG Anunoby
NY
SF, PF",,,33.6,5.6,11.5,1.4,1.8,2.0,4.2,2.1,1.4,0.7,1.6,14.6,68.0,+3.1,1943,29.4
122,"Mike Conley
DTD
Min
PG",,,27.2,3.7,8.3,1.4,1.6,2.1,2.7,5.6,1.1,0.2,1.3,11.0,49.3,-1.5,2116,28.6
123,"Stephon Castle
SA
PG",,,28.9,5.5,11.9,2.8,3.7,1.1,3.1,3.7,1.4,0.8,2.1,14.9,42.5,+10.8,2045,29.2
124,"Ausar Thompson
O
Det
SF, PF",,,29.5,4.4,8.9,1.4,2.2,0.4,7.5,2.2,1.3,1.1,1.6,10.6,47.7,-0.5,2079,28.5
125,"Brandin Podziemski
GS
SG",,,29.3,4.1,8.9,0.8,1.2,1.4,6.4,4.1,0.9,0.4,1.3,10.5,38.8,+5.6,2102,28.0
126,"Jaden Ivey
Det
SG",,,31.8,5.9,13.8,3.4,4.5,1.7,3.8,4.6,0.8,0.5,2.9,16.8,52.4,+1.9,2112,27.8
127,"Isaiah Hartenstein
O
OKC
C",,,27.4,3.4,5.5,1.5,2.1,0.1,8.9,2.6,1.2,1.2,1.3,8.4,51.7,-6.8,1912,30.3
128,"Keldon Johnson
DTD
SA
SF",,,29.8,5.8,12.8,2.6,3.3,1.9,5.5,2.8,0.7,0.4,1.5,16.1,34.0,-1.9,2002,28.6
129,"Ivica Zubac
LAC
C",,,26.7,4.8,7.4,1.9,2.6,0.0,9.3,1.3,0.3,1.2,1.2,11.4,38.4,+2.9,2008,28.3
130,"Cameron Johnson
Bkn
SF, PF",,,30.5,5.3,11.7,1.8,2.2,2.7,4.8,2.4,1.0,0.3,1.0,15.0,33.5,+3.9,1962,28.9
131,"Jordan Poole
Wsh
SG, PG",,,27.8,5.8,14.0,2.5,2.8,2.2,2.5,4.1,1.0,0.3,2.3,16.3,71.3,-1.7,2109,27.0
132,"Donovan Clingan
Por
C",,,22.8,4.3,7.7,1.2,1.8,0.2,5.7,1.9,0.6,2.2,1.4,10.0,24.5,+8.6,1984,28.3
133,"Kelly Oubre Jr.
Phi
SF, SG",,,30.8,5.9,13.3,2.6,3.5,1.6,5.1,1.5,1.2,0.7,1.3,15.9,34.5,+6.2,1973,28.2
134,"Malik Monk
DTD
Sac
SG, SF",,,25.1,5.2,11.7,2.2,2.6,2.0,2.9,4.6,0.6,0.5,2.0,14.6,38.5,-0.1,2010,27.5
135,"Dereck Lively II
Dal
C",,,25.8,4.3,5.9,0.9,1.6,0.0,7.5,1.2,0.7,1.5,1.0,9.4,33.6,+4.5,1964,28.1
136,"Scoot Henderson
Por
PG",,,31.8,6.2,15.3,3.4,4.1,1.7,3.5,6.1,0.9,0.2,3.8,17.4,55.8,+0.8,1957,28.0
137,"Chris Paul
DTD
SA
PG",,,25.7,3.5,8.0,0.8,1.0,1.3,3.7,6.7,1.2,0.1,1.3,9.2,50.6,-2.4,1865,29.1
138,"Jeremy Sochan
DTD
SA
PF",,,31.9,5.1,11.5,1.6,2.2,0.9,6.8,3.5,0.9,0.6,2.1,12.8,16.1,+5.9,1950,27.5
139,"Ayo Dosunmu
Chi
SG",,,31.3,4.8,9.6,1.1,1.4,1.5,3.1,3.4,0.9,0.6,1.5,12.2,24.8,-3.6,2024,26.3
140,"Trey Murphy III
O
NO
SF, SG",,,28.5,4.6,10.1,2.0,2.4,2.7,4.3,1.8,0.9,0.5,0.6,13.8,27.6,-3,1916,27.4
141,"Herbert Jones
NO
SF, PF",,,30.3,3.8,7.7,1.8,2.1,1.3,3.7,2.5,1.4,0.8,1.2,10.7,28.5,+4.6,1971,26.6
142,"Marcus Smart
Mem
SG, PG",,,30.4,4.4,10.4,1.8,2.4,1.9,3.0,5.2,1.7,0.3,2.6,12.5,22.0,+6.8,1791,28.4
143,"Kelly Olynyk
DTD
Tor
C, PF",,,23.0,3.6,6.6,2.0,2.4,0.8,5.3,4.3,0.9,0.4,2.0,10.0,11.7,+2.2,1963,26.2
144,"Onyeka Okongwu
Atl
C",,,25.8,4.2,6.7,1.8,2.3,0.3,7.2,1.3,0.6,1.2,0.9,10.4,20.7,-4.1,1870,27.1
145,"Zaccharie Risacher
DTD
Atl
SF, PF",,,29.6,5.3,11.9,1.6,1.9,0.4,4.9,2.3,0.9,0.7,1.8,12.5,27.3,+7.1,1639,23.4
146,"Jordan Clarkson
Utah
SG",,,30.9,6.3,15.1,3.2,3.7,1.8,3.5,4.9,0.6,0.1,2.7,17.6,29.2,-2.7,1837,27.0
147,"Jalen Suggs
Orl
PG, SG",,,27.4,4.4,9.8,1.7,2.3,1.9,3.2,3.0,1.4,0.6,1.9,12.5,27.7,+5.9,1841,26.3
148,"Max Strus
O
Cle
SF, SG",,,31.1,4.3,10.3,1.1,1.3,2.5,4.4,3.4,0.8,0.3,1.4,12.2,11.4,+1,1888,25.5
149,"Wendell Carter Jr.
Orl
C",,,26.9,4.6,8.7,1.9,2.7,1.2,7.7,2.0,0.6,0.5,1.4,12.3,8.7,+3.8,1796,26.4
150,"Kentavious Caldwell-Pope
Orl
SG",,,31.4,3.7,8.1,1.4,1.6,1.7,2.6,2.4,1.3,0.5,1.0,10.5,11.0,+2.1,1818,23.9
151,"Bennedict Mathurin
Ind
SF, SG",,,30.3,5.8,13.1,3.9,4.7,1.5,4.6,2.2,0.7,0.4,1.9,17.1,17.6,+5.2,1816,25.9
152,"Andre Drummond
Phi
C",,,19.5,3.8,6.7,1.7,3.0,0.0,10.1,0.7,1.1,0.7,1.3,9.3,16.1,+6.7,1899,25.0
153,"Bojan Bogdanovic
O
Bkn
PF, SF",,,30.2,6.4,13.8,2.9,3.5,2.6,3.4,2.0,0.6,0.1,2.0,18.2,7.5,+1.9,1777,25.4
154,"De'Anthony Melton
GS
PG, SG",,,26.6,3.7,9.2,1.4,1.7,2.0,3.9,2.8,1.6,0.5,1.2,10.7,10.2,+2.8,1771,26.0
155,"Kel'el Ware
Mia
C",,,22.1,4.5,7.9,2.1,2.9,0.5,5.2,0.9,0.8,1.3,1.1,11.7,7.1,+2,1800,25.7
156,"Alex Caruso
OKC
SG, PG",,,26.0,3.0,6.5,0.9,1.2,1.6,3.4,3.2,1.5,0.8,1.3,8.5,30.6,+3.8,1797,25.7
157,"Shaedon Sharpe
O
Por
SG, SF",,,34.4,5.7,13.9,3.0,3.7,1.9,5.1,2.9,0.9,0.4,2.3,16.4,29.8,-7.8,1846,26.8
158,"Jalen Smith
Chi
PF, C",,,21.5,4.6,8.2,1.6,2.2,1.1,6.9,1.2,0.4,0.8,1.0,11.8,5.9,+1.7,1802,25.4
159,"Matas Buzelis
Chi
SF",,,28.3,5.0,10.9,1.6,1.9,0.4,4.8,2.7,1.1,0.7,1.6,12.0,9.1,+1.7,1778,25.4
